Channel_name,Sender_id,Message,Message_date
Data jobs feed,Размещено в канале,#вакансия #job #vacancy #remote #parttime #преподаватель #educator #dwh время делиться знаниями компания otus образовательная платформа за более чем 6 лет работы мы создали более 170 авторских курсов для it-специалистов разного уровня от junior до senior практически на каждом нашем курсе есть вступительное тестирование для наших студентов плюс более 650 преподавателей-практиков из крупнейших компаний мы учимся друг у друга советуемся помогаем делимся опытом и обсуждаем новости как в преподавании так и в it вакансии преподаватель онлайн-курса data warehouse analyst. преподаватель онлайн-курса dwh на основе arenadata формат удалённая работа. занятость частичная требуется практический опыт работы от 3-х лет можно без опыта преподавания мы с удовольствием поможем вам освоить best practices преподавания для этого у нас есть вводный курс по преподаванию и пробные уроки с методистом __преподаватель раскрывает тему урока с помощью теории и примеров из практики __. условия. стандартное занятие длится 15 часа с 2000 до 2130 по мск уроки проводятся в онлайн формате в zoom на занятиях используется презентация с теорией и практические примеры чтобы раскрыть тему урока с нами вы сможете внести свой вклад в развитие it структурировать свой опыт и знания развивать личный бренд прокачать софт-скиллы получать от 3000 до 6000 руб за один вебинар полтора часа + отдельно оплачивается проверка дз актуализация материалов к занятиям и другие активности бонусы наши курсы со скидкойбесплатно возможность приглашать в свою команду на работу лучших выпускников воркшопы и конференции для наших преподавателей подробнее в telegram @elenaalias,2024-03-15
Data jobs feed,Размещено в канале,data engineer #вакансия #vacancy #banking #engineer #developer #data_engineer #fintech #relocation #data #dataengineer #uae #abudhabi #python #java #scala company name wio. project b2b fintech banking international company term of work relocation only uae abu dhabi relocation allowance. stack languagespython sql +java +scala. databases oltp olap relational db nosql. big data hadoop spark hive s3. elt airflow databricks. cloud computing azure +aws +gcp. streaming data kafka debezium. dwh database design and data modeling. wage 8 000 - 9 000 per month + bonus up to 6 months of your monthly salary tax free wio is the all-in-one digital financial platform created to reboot banking for everyone contact me olga rechkalova. telegram @lovemyriver responsibilities creating source of truth for the reporting data modelling at enterprise level product and business data flow understanding ensure high data quality your profile 5+ years as data engineer proficiency in python and sql good understanding of data storage architectures kappalambdadwhdata vault etc experience with dbt experience with spark what is in it for you great compensation package based on experience and level + tax free in the uae flight allowance aed 2500 - 5000 once a year for you and each of your dependents dependents include spouse and children - range depends on where the home country is for russia it is aed 3500 relocation allowance aed 22000 if you are moving by yourself aed 26000 if you are moving with your spouse or aed 30000 if you are moving with your spouse and children this is a one-time allowance that will be paid after you physically relocate annual bonus end of year bonus depending on your performance up to 6 months of your monthly salary work life balance is important to us so you would have 28 working days holidays + up to 15 national holidays per year visa and health insurance included for you and your dependents flexible working hours 2 days per week wfh policy and many more to come joining a green field company and participate in the early discussion to shape our engineering processes culture working in a cool and relaxed international environment english will be the main language peering with talented engineers coming from most relevant tech companies all over the world contact me olga rechkalova. telegram @lovemyriver,2024-03-14
Data jobs feed,Размещено в канале,#вакансия #vacancy #bpmsoft #creatio #terrasoft привет всем компания глобус it-подразделение глобит. в поисках системного аналитика bpmsoft мы предлагаем. занятость full-time. формат работы удаленный аккредитованная ит компания. дмс чем предстоит заниматься участие в проектах автоматизации поддержки и развития процессов продаж и маркетинга на базе системы bpmsoft проведение воркшопов сбор анализ и валидация требований к доработке системы разработка концепта и проектной документации тз user story use case подготовка функциональныхинтеграционных спецификаций на доработки функционала bpmsoft настройка и кастомизации бизнес процессов bpmsoft поддержка bpmsoft в рамках установленных sla согласно внутренним ит процессам компании что мы ждем от соискателя более 3 лет опыта работы в качестве аналитика bpmsoft модуль управления продажами опыт поддержки и развития bpmsoft предпочтительно в retail fmcg или diy отраслях опыт low-code кастомизации bpmsoft настройка интерфейса бизнес-логики отчетов и печатных форм опыт настройки основных объектов bpmsoft управление продажами клиентские данные управление лидами воронка продаж и другое опыт разработки ролей и прав доступа контакт для откликов. @mariyamalygina,2024-03-14
Data jobs feed,Размещено в канале,position ml engineer items team. company httpstabbyaien-ae. location eu remote we cannot hire in russia but could assist with relocation to georgia armenia portugal spain serbia about tabby. tabby creates financial freedom in the way people shop earn and save by reshaping their relationship with money. the companys flagship offering allows shoppers to split their payments online and in-store with no interest or fees over 32000 global brands and small businesses including amazon noon ikea and shein use tabby to accelerate growth and gain loyal customers by offering easy and flexible payments online and in stores. tabby has generated over 7 billion in transaction volume for its partner brands and has the highest rated most reviewed largest and fastest growing app of any fintech in the gcc region. tabby launched operations in 2020 and has raised +1 billion in equity and debt funding from global and regional investors the opportunity. we are hiring a ml engineer to join our items team who will help us implement the mechanics of processing items in the marketplace key responsibilities. - development of algorithms for items matching and items moderation. - development of algorithms for parsing and enriching product information. - deployment and integrating ml models as services. - bringing best practices of working with mlops infrastructure essential qualifications. - 3+ years of experience as an ml engineer or data scientist. - experience and achievements in the ml domain within e-commerce. - good knowledge of python understanding of best practices. - basic knowledge of sql. - experience of extracting information from unstructured data. - familiarity with text andor image transformers bonus skills. - experience working with nosql vectors databases ann indexes. - self-hosting of llms. - developing streaming and batch data processing pipelines. - model deployment experience airflow docker. - experience on google cloud platform what you can expect. - we offer flexible working hours and trust you to work enough hours to do your job well at times that suit you and your team. - a working environment that gives you autonomy and responsibility from day one. - you should be comfortable with the idea that the quality of your work will influence the shape of your career. - participation in companys employee stock options program. - health insurance. - we are passionate about creating an inclusive high-performing workplace that gives people from all backgrounds the support they need to thrive grow and meet their goals whatever they may be. - if this sounds exciting to you wed love to hear from you how to apply. if you would like to join tabby and feel that position matches your experience please submit your resume for this role at httpsboardsgreenhouseioforgoodaijobs4173028007,2024-03-13
Data jobs feed,Размещено в канале,#вакансия #vacancy #de #dwh #sql #python #fulltime #middle #senior #tinkoff. компания тинькофф. вакансия data engineer грейд middle и senior. занятость full-time. локация россия беларусь казахстан армения гибрид или удаленно по договоренности. вилка 150 000400 000 звезды подсказывают что сегодня тот самый день когда стоит попробовать свои силы в тинькофф у нас ты сможешь развиваться в одном из двух направлений dwh системном анализе или etl-разработке или совмещать их если интересны оба у нас большое и продвинутое хранилище данных это 8000 объектов более 6 000 000 sql-запросов в сутки 800 тб в greenplum и 110 тб в clickhousе что предстоит делать - участвовать в формировании модели данных. - проектировать и разрабатывать витрины и потоки данных на основе потребностей бизнес-пользователей. - участвовать в проектах по развитию нашей data platform. - писать скрипты sql и python. - прорабатывать интеграции с внешними системами для data platform мы ждем от вас - свободное владение sql уверенное владение python. - от 2 лет релевантного опыта работы в dwh. - понимание теории субд- и etl-процессов. - опыт проектирования объектов бд на основании бизнес-требований мы предлагаем. - возможность работать в аккредитованной ит-компании. - платформу обучения и развития тинькофф апгрейд курсы тренинги вебинары и базы знаний по различным направлениям. - дмс со стоматологией и страховку от несчастных случаев + льготное страхование близким. - частичную компенсацию затрат на спорт. - три дополнительных дня отпуска в год отклик и по всем вопросам - @angel_gilmutdinovahttpstmeangel_gilmutdinova,2024-03-12
Data jobs feed,Размещено в канале,у нас есть ещё одна вакансия для вас мы в поиске team lead разработки dwhetl что будет входить в ваши задачи __руководство командой разработчиков и архитектурный надзор. взаимодействие с рп планирование работ команды по задачам разработки. etlelt процедуры маппинги informatica pc. выполнение задач по развитию dwh проектирование разработка документирование согласование и тестирование в соответствии со стандартами принятыми в рамках проекта. рефакторинг и оптимизация существующих процессов. обеспечение работ в рамках гарантийной поддержки разработанных объектов и процессов__ что мы ждем от кандидата __понимание принципов и архитектур построения хранилищ данных. проектирования и реализации потоков данных и трансформаций. практический опыт проектирования и разработки аналитических витрин. уверенное знание teradata в том числе наличие экспертизы по работе с дополнительными опциями querygrid columnar olap. уверенное знание oracle в том числе plsql понимание cost-based оптимизации умение анализировать планы запросов знание стратегий объединения таблиц и доступа к данным сегмента отката и работы с памятью. понимание архитектуры hadoop опыт использования технологий стека hadoop hive spark sqoop. наличие кроссплатформенной экспертизы__ httpstalantixruform4xc25fwpm6hyrem9wefgcwознакомиться подробнее и заполнить заявку можно здесьhttpstalantixruform4xc25fwpm6hyrem9wefgcw с нетерпением ждём ваших откликов #вакансия,2024-03-12
Data jobs feed,Размещено в канале,всем привет меня зовут александра. я нахожусь в поиске senior data engineer компания marksman - рекрутинговая компания занимаемся подбором персонала на российском и европейском рынках уже более 18 лет оформление тк рф формат удаленный на территории рф. уровень компенсации до 500 тр на руки открыты к обсуждениям локациягражданство рф задачи которые могут стать твоими развитие платформы данных и feature store взаимодействие с ml-командой участие в pre-prod тестировании выводе приложений в prod среду и диагностике в случае сбоев реализация архитектурных решений для нас важно опыт работы с hadoop стеком от 3 лет наличие опыта работы со spark уверенное знание pythonscala понимание архитектуры работы hdfs предлагаем дмс с первого дня для вас и скидка для членов семьи ежегодная компенсация спорта работа в аккредитованной it компании удаленную работу на территории рф мой контакт для связи httpstmeif_alexandra,2024-03-12
Data jobs feed,Размещено в канале,добрый день. можно опубликовать вакансию. #remote #vacancy #вакансия #fulltime #аутстаф #outstaf #etl локация рф. проект от 3 месяцев. формат работы удаленно грейд - middle. вилка 240-285тргросс привет меня зовут екатерина я представляю группу компаний top selection мы занимаемся продуктовой разработкой и аутсорсингом it персонала для рынка россии европы и сша в данный момент мы в поиске разработчика etl. проект - телеком требования. -опыт разработки etl-процессов с использование инструментов sas от трех лет - опыт разработки etl-процессов для greenplum - опыт участия в проектах по созданию и развитию dwh - умение работать с bash-скриптами - опыт промышленной разработки на python. cтек oraclehadoopteradata sqlpythonsparkhive airflow grafanasas. за подробным описанием вакансии прошу в лс контакты@katrin_easya,2024-03-12
Data jobs feed,Размещено в канале,#вакансия #аналитик #middle #senior #bpmsoft #удаленка #гибрид всем привет intechteam в поиске аналитика мы внедряем современные it-решения для автоматизации бизнес-процессов на платформе bpmsoft за 6 лет работы нашими клиентами стали брусника газпромнефть aitas tekta group газ и другие мы предлагаем. - масштабные и интересные проекты работа с ведущими компаниями россии. - оформление по тк рф белая зп до 200 000 рублей на руки. - аккредитованная it-компания. - удалённыйгибридный формат работы офис в 3-х минутах ходьбы от м марьина роща г москва. - работа в коллективе профессионалов готовых делиться своим опытом. - возможности развития и роста курсы тренинги задачи. - проведение интервью с командой заказчика. - сбор анализ и структурирование потребностей бизнес-заказчика. - формализация и системный анализ требований. - концептуальное и архитектурное проектирование системы. - написание технической документации тест-кейсов. - постановка задач разработчикам приемка результатов. - сдача работ заказчику. - обучение сотрудников менторство. - сопровождение системы после внедрения требования. - опыт работы с bpmsoft. - опыт работы в должности аналитика по внедрению со стороны подрядчикаисполнителя от 2-х лет в частности управление изменениями. - понимание принципов интеграционных взаимодействий. - навыки проектирования архитектуры бизнес-приложений. - опыт работы с технической документацией. - понимание методологий ведения проектов по разработке и внедрению по контакты для связи @gorlova_n настя,2024-03-12
Data jobs feed,Размещено в канале,вакансия bi аналитик. контакт для резюме @wellles. hhruvacancy93463469 компания лада-цифра - дочка лады автоваз в конце 2023 только организована продуктовая ит компания - запускают маркетплейс автотоваров вилка до 300к. удаленноофисгибрид. важно быть в рф пометодологиисервисы powerbi datalense dbeaver. стек sql python dax опыт. - опыт активного использования sql для подготовки данных для дашбордов. - практический опыт работы с инструментами визуализации такими как powerbi datalens или аналогичными. - знание опенсорс инструментов визуализации. навыки эффективного общения с внутренними клиентами и определения их потребностей в аналитике и отчетности функции взаимодействие с руководителем аналитики анализ бизнес-процессов в команде e-commerce и формирование соответствующих метрик. - разработка системы отчетности с нуля участие во всех этапах начиная с определения требований и заканчивая созданием финального дашборда. - взаимодействие с проектами по развитию dwh формулирование требований к витринам и сотрудничество в области качества данных,2024-03-12
Data jobs feed,Размещено в канале,dataengineer в m2ru ищем дата инженеров которые готовы строить lakehouse нужно будет писать код общаться с системными аналитиками внедрять лучшие практики придумывать как все сделать все эффективней и быстрее пишем на python но scalajava будет большим плюсому нас в компании сильные scala компетенции работаем на удаленке но только по рф - spark. - trino. - dbt - airflow - airbyte писать можно сразу мне @krivdathetriewe,2024-03-11
Data jobs feed,Размещено в канале,we are expanding our ds team and are looking for a talented middlemiddle+ data scientist to join our international team and take part in groundbreaking projects that define the blockchain industry clain is building sophisticated analysis software that provides regulatory compliance for crypto related businesses and empowers forensic investigators with ingenious tools to detect and explore crypto-enabled crimes we offer an ideal workplace for those who want to have a real impact on the growth of an organization and are craving responsibilities what we offer - a chance to work with cool crypto compliance products and make a real impact on the business - powerful server hardware from 32 cpus and 256gb ram for work and experiments - petabytes of on-chain data and gigabytes of off-chain data tabular data json texts and even pictures - relocation to cyprus limassol with employment and social guarantees in accordance with cypriot law - flexible start of the working day and optionally hybrid working week - collaborative and supportive team atmosphere key responsibilities - analysis of on-chain and off-chain data - creation and automation of analytical services and ml models - participation in the creation of the ds ecosystem requirements - strong analytical skills with the ability to extract insights from large datasets and effectively visualize data - proven work experience of at least 2 years in a similar role - knowledge of development principles oop solid - practical experience of python 3 packages numpy pandas pydantic - good level of sql - familiar with one of shellbashpowershell - bachelors degree in statistics applied mathematics or related discipline - intermediate english for communication in the international team it will be a plus - familiar with the principles of blockchain technology - professional level of python 3 type hints logging profiling and code modularity - experience with columnargraphdocument-oriented dbs - experience with docker k8s airflow if youre driven by innovation passionate about blockchain and ready to embrace the challenges of shaping the future we want to hear from you contact us elena talent acquisition manager - tg @elena_yank,2024-03-11
Data jobs feed,Размещено в канале,#вакансия #vacancy #sql #powerbi #fulltime #middle привет всем компания витех it-подразделение всеинструментыру. в поисках bi разработчика middle мы предлагаем занятость full-time формат работы гибридный 1-2 дня офис на ст м пролетарская остальное удаленно аккредитованная ит компания зарплатная вилка от 200000 рублей netto чем предстоит заниматься согласование требований с заказчиком анализ мастер систем my sql postgresql clickhouse и тп на наличие необходимых данных формирование задания на импорт данных из мастер систем в базу данных отчетности написание процедур для обработки данных улучшение качества данных выполнение алгоритмабизнес логики агрегация приведение к нужной атомарности и витрин для дашбордов создания таблица фактов справочников календарей и тп непосредственное создание дашбордов в power bi импорт данных с дополнительной предобработкой в pq создание оптимальной модели данных визуализация написание сложных dax мер публикация и администрирование разработанных дашбордов написание документации для пользователей по дашборду описание реализованной бизнес логики ведение технической документации confluence что мы ждем от соискателя умение собирать систематизировать и анализировать информацию построение витрин для дашбардов а также мастер витрин для ключевых сущностей и объектов построение дашбордов в power bi предоставление ос заказчику по возможности реализации задачи в момент согласования понимание бизнес смысла задачи работа с аномалиями и дублями поиском взаимосвязи между различными таблицами что мы предлагаем система грейдов индивидуальные планы развития митапы конференции обучение в корпоративном университете полностью белая заработная плата также есть корпоративный дмс и компенсация спорта 70 на годовой абонемент контакт для откликов @mariakresova,2024-03-11
Data jobs feed,Размещено в канале,#вакансия #job #vacancy #remote #parttime #преподаватель #educator #dwh время делиться знаниями компания otus образовательная платформа за более чем 6 лет работы мы создали более 170 авторских курсов для it-специалистов разного уровня от junior до senior практически на каждом нашем курсе есть вступительное тестирование для наших студентов плюс более 650 преподавателей-практиков из крупнейших компаний мы учимся друг у друга советуемся помогаем делимся опытом и обсуждаем новости как в преподавании так и в it вакансия преподаватель онлайн-курса data warehouse analysthttpsotusrulessonsdwh формат удалённая работа. занятость частичная требуется практический опыт работы от 3-х лет будет большим плюсом опыт работы с dbt и data vault можно без опыта преподавания мы с удовольствием поможем вам освоить best practices преподавания для этого у нас есть вводный курс по преподаванию и пробные уроки с методистом __преподаватель раскрывает тему урока с помощью теории и примеров из практики __. условия. стандартное занятие длится 15 часа с 2000 до 2130 по мск уроки проводятся в онлайн формате в zoom на занятиях используется презентация с теорией и практические примеры чтобы раскрыть тему урока с нами вы сможете внести свой вклад в развитие it структурировать свой опыт и знания развивать личный бренд прокачать софт-скиллы получать от 4000 до 6000 руб за один вебинар полтора часа + отдельно оплачивается проверка дз актуализация материалов к занятиям и другие активности бонусы наши курсы со скидкойбесплатно возможность приглашать в свою команду на работу лучших выпускников воркшопы и конференции для наших преподавателей подробнее в telegram @elenaalias,2024-03-07
Data jobs feed,Размещено в канале,#вакансия #mlengineer #удаленка senior ml engineer head ml компания nexpanse. локация оаэ дубай. формат работы удалённая работа полная занятость. вилка обсуждается индивидуально компания nexpanse создает лучшие b2c продукты на базе generative ai технологий мы ищем опытного ai инженера который способен быстро реализовывать ai сервисы от стадии исследований до выпуска в продакшн что нужно делать - проектировать и реализовывать aiml модели с ориентацией на лучшие мировые практики и стандарты. - смотреть на общую картину продукта понимать потребности пользователей. - оценивать ml-проект с точки зрения трудозатрат и потенциальной выгоды. - предстоит работать с высоконагруженной инфраструктурой повышать надежность производительность и расширяемость пайплайнов данных проектировать и разрабатывать модели данных. - поддержка инноваций и технического совершенства в команде формирование культуры непрерывного обучения. - взаимодействие с внутренними заинтересованными сторонами для определения приоритетности проектов и эффективного распределения ресурсов. - набирать наставлять и развивать лучшие таланты для создания высокоэффективной команды машинного обучения требования - 5+ лет опыта работы в области науки о данных иили машинного обучения с опытом внедрения эффективных решений. - опыт руководства командой. - опыт использования ai api chatgpt gradio claude и другие. - опыт обучения пользовательских llm mistralvicunallama. - опыт управления данными и разработки конвейеров данных а также опыт создания и масштабирования инфраструктуры данных. - экспертиза в управлении данными и разработке потоков данных с опытом построения и масштабирования инфраструктуры данных. - владение навыками кураторства данных и этичной практики источников данных с знанием регулирования конфиденциальности. - опыт в управлении продуктом с акцентом на успешном внедрении фитчей и функций искусственного интеллектамашинного обучения. - сильные аналитические и навыки решения проблем с возможностью перевода бизнес-задач в практичные решения машинного обучения. - бакалавр или магистр науки в области науки о данных информатики или смежной области либо эквивалентный опыт работы в индустрии плюсом будет - разработка проектов llm ассистенты чат-боты преимущества - конкурентная заработная плата. - возможность работы над передовыми проектами машинного обучения в динамичной среде. - полностью удаленная работа. - возможности профессионального развития. - цифровая виза и помощь в переезде. - возможность оказать значительное влияние на формирование будущего машинного обучения если вы увлечены инновациями и стремитесь использовать машинное обучение для создания ценности присоединяйтесь сейчас откликнуться. httpsformsglemfzsvmgznngujcat9,2024-03-06
